name,espn_player_id
Jaylen Adams,3133874
Ryan Arcidiacono,2991047
D.J. Augustin,3415
Lonzo Ball,4066421
J.J. Barea,3055
Patrick Beverley,3964
Eric Bledsoe,4238
Jordan Bone,4066212
Ky Bowman,4065635
Avery Bradley,4240
Malcolm Brogdon,2566769
Jalen Brunson,3934672
Trey Burke,2579260
Jevon Carter,3133635
Michael Carter-Williams,2596108
Chris Chiozza,3137795
Jordan Clarkson,2528426
Chris Clemons,3906603
Mike Conley,3195
Quinn Cook,2566745
Stephen Curry,3975
Matthew Dellavedova,2489716
Spencer Dinwiddie,2580782
PJ Dozier,3923250
Goran Dragic,3423
Kris Dunn,2991139
Carsen Edwards,4066407
Dante Exum,3102528
Yogi Ferrell,2991018
De'Aaron Fox,4066259
Markelle Fultz,4066636
Darius Garland,4396907
Brandon Goodwin,3057198
Devonte' Graham,3133601
Jerian Grant,2531047
Josh Gray,3001308
Jared Harper,4066248
Shaquille Harrison,2991274
George Hill,3438
Aaron Holiday,3922230
Kyrie Irving,6442
Frank Jackson,4065651
Reggie Jackson,6443
Tyus Jones,3135046
Cory Joseph,6446
Brandon Knight,6448
Zach LaVine,3064440
Jalen Lecque,4423887
Damian Lillard,6606
Kyle Lowry,3012
Jeremiah Martin,3907788
Frank Mason III,3059315
T.J. McConnell,2530530
Jordan McLaughlin,3134916
Patty Mills,4004
Ja Morant,4279888
Monte Morris,3059310
Emmanuel Mudiay,3892818
Mychal Mulder,3936298
Dejounte Murray,3907497
Jamal Murray,3936299
Shabazz Napier,2530780
Raul Neto,2968361
Frank Ntilikina,4230547
Chris Paul,2779
Cameron Payne,3064230
Elfrid Payton,2583639
Gary Payton II,3134903
Austin Rivers,6617
Rajon Rondo,3026
Derrick Rose,3456
Terry Rozier,3074752
Ricky Rubio,4011
Dennis Schroder,3032979
Collin Sexton,4277811
Ben Simmons,3907387
Kobi Simmons,4066335
Marcus Smart,2990992
Ish Smith,4305
Dennis Smith Jr.,4065697
Edmond Sumner,3136485
Jeff Teague,4015
Gabe Vincent,3137259
Kemba Walker,6479
John Wall,4237
Brad Wanamaker,6507
Tremont Waters,4278080
Russell Westbrook,3468
Coby White,4395651
Derrick White,3078576
Nigel Williams-Goss,3064457
Delon Wright,3064447
Justin Wright-Foreman,3911566
Trae Young,4277905
Nickeil Alexander-Walker,4278039
Grayson Allen,3135045
Justin Anderson,2982340
Dwayne Bacon,3907821
RJ Barrett,4395625
Nicolas Batum,3416
Kent Bazemore,6637
Bradley Beal,6580
Malik Beasley,3907822
Marco Belinelli,3190
DeAndre' Bembry,3062667
Bogdan Bogdanovic,3037789
Devin Booker,3136193
Brian Bowen II,4277882
Corey Brewer,3191
Ryan Broekhoff,2489693
Dillon Brooks,3155526
Bruce Brown,4065670
Jaylen Brown,3917376
Sterling Brown,3057187
Charlie Brown Jr.,4066508
Alec Burks,6429
Deonte Burton,3059358
Kentavious Caldwell-Pope,2581018
Alex Caruso,2991350
Antonius Cleveland,3064237
Amir Coffey,4066387
Pat Connaughton,2578239
Jamal Crawford,165
Jarrett Culver,4277928
Seth Curry,2326307
Troy Daniels,2489530
Terence Davis,3919454
Hamidou Diallo,4080610
Donte DiVincenzo,3934673
Luka Doncic,3945274
Luguentz Dort,4397020
Damyean Dotson,2991149
Wayne Ellington,3981
Jacob Evans,3934621
Bryn Forbes,2994526
Evan Fournier,6588
Michael Frazier,2991255
Melvin Frazier Jr.,3913546
Langston Galloway,2530572
Paul George,4251
Shai Gilgeous-Alexander,4278073
Eric Gordon,3431
Treveon Graham,2595231
Danny Green,3988
Javonte Green,2596112
Marko Guduric,4230554
Kyle Guy,4065730
Devon Hall,3059285
Tim Hardaway Jr.,2528210
James Harden,3992
Gary Harris,2999547
Tyler Herro,4395725
Buddy Hield,2990984
Jrue Holiday,3995
Talen Horton-Tucker,4396991
William Howard,4237239
Kevin Huerter,4066372
Andre Iguodala,2386
Joe Ingles,2968436
Josh Jackson,4066297
Justin James,3914058
DaQuan Jeffries,3913220
Ty Jerome,4065733
Tyler Johnson,2530276
Luke Kennard,3913174
John Konchar,3134932
Furkan Korkmaz,3929325
Kyle Korver,2011
Jeremy Lamb,6603
Romeo Langford,4397008
Courtney Lee,3445
Damion Lee,2595209
Caris LeVert,2991043
Timothe Luwawu-Cabarrot,3893019
Terance Mann,3907823
Garrison Mathews,3913180
Wesley Matthews,4032
CJ McCollum,2490149
Rodney McGruder,2488826
Jordan McRae,2531797
De'Anthony Melton,4066436
Malcolm Miller,2580980
Shake Milton,3915195
Donovan Mitchell,3908809
Naz Mitrou-Long,2990968
Adam Mokoka,4349241
Malik Monk,4066262
Matt Mooney,3149036
E'Twaun Moore,6460
Mychal Mulder,3936298
Dzanan Musa,4348696
Sviatoslav Mykhailiuk,3133602
Jaylen Nowell,4278541
Kendrick Nunn,3056247
David Nwaba,3062744
Victor Oladipo,2527963
Miye Oni,4066851
Theo Pinson,3138154
Jordan Poole,4277956
Kevin Porter Jr.,4397140
Norman Powell,2595516
Josh Reaves,3912278
Cam Reddish,4395627
JJ Redick,3024
Cameron Reynolds,3057240
Josh Richardson,2581190
Andre Roberson,2530596
Duncan Robinson,3157465
Jerome Robinson,3943606
Terrence Ross,6619
D'Angelo Russell,3136776
Tomas Satoransky,6621
Admiral Schofield,3918423
Landry Shamet,3914044
Marial Shayok,3138201
Anfernee Simons,4351851
JR Smith,2444
Zhaire Smith,4277923
Max Strus,4065778
Garrett Temple,4023
Khyri Thomas,3912334
Matt Thomas,3059311
Klay Thompson,6475
Sindarius Thornwell,3064539
Matisse Thybulle,3907498
Gary Trent Jr.,4277843
Rayjon Tucker,3908819
Evan Turner,4239
Denzel Valentine,2999549
Fred VanVleet,2991230
Dion Waiters,6628
Lonnie Walker IV,4277890
Yuta Watanabe,3133838
Quinndary Weatherspoon,3907358
Lou Williams,2799
Dylan Windler,3906786
Kyle Alexander,3918424
Kyle Anderson,2993874
Thanasis Antetokounmpo,3102533
OG Anunoby,3934719
Trevor Ariza,2426
Harrison Barnes,6578
Will Barton,6579
Keita Bates-Diop,3136779
Darius Bazley,4423545
Davis Bertans,6426
Bojan Bogdanovic,3593
Isaac Bonga,4348697
Ignas Brazdeikis,4397205
Mikal Bridges,3147657
Miles Bridges,4066383
Oshae Brissett,4278031
Troy Brown Jr.,4278508
Reggie Bullock,2528779
Jimmy Butler,6430
Bruno Caboclo,3113297
Vlatko Cancar,4230557
DeMarre Carroll,3970
Wilson Chandler,3194
Zylan Cheatham,3137713
Brandon Clarke,3906665
Torrey Craig,2528693
Jae Crowder,6581
DeMar DeRozan,3978
Sekou Doumbouya,4423314
Jared Dudley,3201
Kevin Durant,3202
James Ennis III,2579321
Terrance Ferguson,4230546
Dorian Finney-Smith,2578185
Rudy Gay,3005
Maurice Harkless,6591
Joe Harris,2528794
Tobias Harris,6440
Josh Hart,3062679
Mario Hezonja,2995706
Solomon Hill,2488958
Jaylen Hoard,4395688
Justin Holiday,2284101
Rondae Hollis-Jefferson,3064291
Rodney Hood,2581177
Danuel House Jr.,2991155
De'Andre Hunter,4065732
Chandler Hutchison,3149010
Brandon Ingram,3913176
Wes Iwundu,3074797
Justin Jackson,3138156
LeBron James,1966
BJ Johnson,3059280
Cameron Johnson,3138196
Keldon Johnson,4395723
Stanley Johnson,3134881
Derrick Jones Jr.,3936099
Michael Kidd-Gilchrist,6601
Louis King,4397103
Kevin Knox II,4278075
Rodions Kurucs,4230548
Vic Law,3136746
Jake Layman,2982268
Kawhi Leonard,6450
Nassir Little,4395652
Caleb Martin,3138160
Cody Martin,3138161
Kelan Martin,3133596
Patrick McCaw,3137730
Doug McDermott,2528588
Alfonzo McKinnie,2530923
Ben McLemore,2578213
Khris Middleton,6609
Darius Miller,6610
Juwan Morgan,3934721
Marcus Morris Sr.,6462
Abdel Nader,2595435
Georges Niang,2990969
Royce O'Neale,2583632
Elie Okobo,4230550
Josh Okogie,4065663
KZ Okpala,4278521
Cedi Osman,3893016
Kelly Oubre Jr.,3133603
Tariq Owens,3149059
Norvel Pelle,2608892
Otto Porter Jr.,2594922
Glenn Robinson III,2991039
Isaiah Roby,4066392
JaKarr Sampson,2608891
Thabo Sefolosha,3028
Tony Snell,2528353
Lance Thomas,6485
Juan Toscano-Anderson,4401416
Jarrod Uthoff,2579293
Moritz Wagner,3150844
T.J. Warren,2982334
Paul Watson,3058030
Andrew Wiggins,3059319
Kenrich Williams,3133626
Zion Williamson,4395628
Justise Winslow,3135047
Bam Adebayo,4066261
LaMarcus Aldridge,2983
Kyle Alexander,3918424
Al-Farouq Aminu,4248
Giannis Antetokounmpo,3032977
Kostas Antetokounmpo,4066490
Carmelo Anthony,1975
Marvin Bagley III,4277848
Jordan Bell,3064427
Khem Birch,2578240
Nemanja Bjelica,4269
Chris Boucher,3948153
Jarrell Brantley,3912292
Gary Clark,3132042
Nicolas Claxton,4278067
John Collins,3908845
Zach Collins,4066650
Tyler Cook,4066367
Robert Covington,2490620
Anthony Davis,6583
Cheick Diallo,3919335
Drew Eubanks,3914285
Cristiano Felicio,3113587
Wenyen Gabriel,4066264
Daniel Gafford,4278049
Danilo Gallinari,3428
Aaron Gordon,3064290
Jerami Grant,2991070
Draymond Green,6589
JaMychal Green,2327577
Jeff Green,3209
Blake Griffin,3989
Rui Hachimura,4066648
Donta Hall,3907408
Montrezl Harrell,2991055
Udonis Haslem,2184
John Henson,6592
Juan Hernangomez,4017839
Kevin Hervey,3143565
Al Horford,3213
Ersan Ilyasova,2767
Jonathan Isaac,4065654
Jaren Jackson Jr.,4277961
Alize Johnson,4067045
James Johnson,3999
Mfiondu Kabengele,4065660
Maxi Kleber,2960236
Kyle Kuzma,3134907
Skal Labissiere,3936296
Vic Law,3136746
T.J. Leaf,4066425
Kevon Looney,3155535
Kevin Love,3449
Lauri Markkanen,4066336
Luc Mbah a Moute,3451
Jalen McDaniels,4066731
Nicolo Melli,4341
Chimezie Metu,3914283
Paul Millsap,3015
Markieff Morris,6461
Johnathan Motley,3059306
Mike Muscala,2490089
Larry Nance Jr.,2580365
Semi Ojeleye,3056602
Kelly Olynyk,2489663
Tariq Owens,3149059
Jabari Parker,3056600
Eric Paschall,3133817
Patrick Patterson,4264
Mason Plumlee,2488653
Jontay Porter,4278103
Michael Porter Jr.,4278104
Bobby Portis,3064482
Kristaps Porzingis,3102531
Taurean Prince,2990962
Julius Randle,3064514
Domantas Sabonis,3155942
Luka Samanic,4423309
Dario Saric,3032978
Mike Scott,6622
Pascal Siakam,3149673
Chris Silva,3923253
Alen Smailagic,4401415
Ray Spalding,3908806
Omari Spellman,4065836
Caleb Swanigan,3906671
Jayson Tatum,4065648
